Model,AIC,BIC,Log Likelihood,MSE_Test,MAE_Test
"GARCH(1,1)",869.3488634513667,883.1701479127975,-430.67443172568335,273.11820016513315,15.946331463482313
"GJR-GARCH(1,1)",869.6185965123931,886.8952020891816,-429.80929825619654,277.6018827295279,15.978284836478805
"EGARCH(1,1)",872.7689873873477,886.5902718487785,-432.38449369367385,291.33792985361185,16.220196323348322
"TGARCH(1,1)",861.3674735792844,878.6440791560728,-425.6837367896422,292.8000925955769,16.336572088772204
