Model,AIC,BIC,Log Likelihood,MSE_Test,MAE_Test
"GJR-GARCH(1,1)",1456.988968489159,1477.7526319626795,-723.4944842445796,163.36129975092612,12.514426018640252
"TGARCH(1,1)",1451.5981863269722,1472.3618498004926,-720.7990931634861,178.06144212564223,12.994905592071062
"GARCH(1,1)",1471.677430341172,1488.2883611199886,-731.838715170586,180.03281863076714,13.268961652922448
"EGARCH(1,1)",1471.3396712743404,1487.950602053157,-731.6698356371702,189.5741580693843,13.606578449411867
