Model,AIC,BIC,Log Likelihood,MSE_Test,MAE_Test
"EGARCH(1,1)",10312.410520282881,10337.076521559502,-5152.205260141441,186.91746067238626,12.740462437787802
"TGARCH(1,1)",10119.939118985378,10150.771620581152,-5054.969559492689,188.61078250392555,12.649742559767999
"GARCH(1,1)",10293.877567138832,10318.543568415453,-5142.938783569416,190.75611485883007,12.934621393860507
"GJR-GARCH(1,1)",10129.235362303445,10160.06786389922,-5059.6176811517225,199.58706636743196,13.007561878718912
